Données 1,Données 2,Données 3,Données 4,Données 5,Données 6,Données 7,Données 8,Données 9
Individu 01,70,91,215.7,3.4,42.9,2.9,4.1,13,14
Individu 02,321,140,218,29.3,49.2,3.7,17.6,80,30
Individu 03,321,252,125.5,27.3,62.3,6.2,21.8,80,20
Individu 04,298,205,261,23.3,60.4,6.7,23.3,70,26
Individu 05,370,432,162,31.2,83.5,13.3,18.7,100,25
Individu 06,309,272,202.3,24.6,73.1,8.1,19.7,80,30
Individu 07,355,232,178.9,28,51.5,6.8,22.4,90,25
Individu 08,300,223,156.7,23.4,53,4,21.1,70,22
Individu 09,142,22,78.2,10.4,63.4,20.4,9.4,20,10
Individu 10,381,240,334.6,27.5,90,5.2,35.7,80,46
Individu 11,347,285,219,29.5,57.6,5.8,23.6,80,30
Individu 12,338,311,236.7,29.1,46.7,3.6,20.4,90,40
Individu 13,115,25,94.8,7.8,64.3,22.6,7,30,10
Individu 14,80,41,146.3,3.5,50,20,8.3,10,11
Individu 15,292,390,168.5,24,77.4,5.5,16.8,70,20
Individu 16,206,160,72.8,18.5,150.5,31,11.1,50,16
Individu 17,378,60,308.2,29.4,56.3,2.4,29.4,110,45
Individu 18,327,148,272.2,24.7,65.7,5.5,24.7,80,44
Individu 19,308,222,79.2,25.6,63.6,21.1,20.5,80,13
Individu 20,399,92,220.5,32.4,55.9,1.3,29.2,120,51
Individu 21,406,172,182.3,32.5,76.4,4.9,26,110,28
Individu 22,292,276,132.9,25.4,116.4,32.5,17.8,70,25
Individu 23,344,192,87.2,27.9,90.1,36.3,19.5,80,36
Individu 24,367,256,264,28.8,48.8,5.7,23,90,30
Individu 25,264,314,215.9,19.5,103,36.4,23.4,60,20
Individu 26,342,336,211.1,28.9,37.1,27.5,20.2,90,27
Individu 27,401,112,259.4,33.3,54.9,1.2,26.6,120,41
Individu 28,314,238,209.8,25.1,63.7,6.4,22.6,70,27
Individu 29,314,353.5,72.6,26.3,51.6,30.3,21,70,20
